Build completed successfully (100 jobs).
SL1001/Fixed: qualified positive (5.63s detector)
SL1001/Violation: qualified policyRejection (5.64s detector)
SL1001/Restored: qualified positive (4.95s detector)
SL1002/Fixed: qualified positive (5.11s detector)
SL1002/Violation: qualified policyRejection (7.55s detector)
SL1002/Restored: qualified positive (5.05s detector)
SL1003/Fixed: qualified positive (4.24s detector)
SL1003/Violation: qualified policyRejection (4.31s detector)
SL1003/Restored: qualified positive (4.30s detector)
SL1004/Fixed: qualified positive (5.04s detector)
SL1004/Violation: qualified policyRejection (6.38s detector)
SL1004/Restored: qualified positive (5.20s detector)
SL1005/Fixed: qualified positive (4.96s detector)
SL1005/Violation: qualified policyRejection (5.02s detector)
SL1005/Restored: qualified positive (4.97s detector)
SL1006/Fixed: qualified positive (5.00s detector)
SL1006/Violation: qualified policyRejection (6.68s detector)
SL1006/Restored: qualified positive (5.43s detector)
SL1007/Fixed: qualified positive (4.95s detector)
SL1007/Violation: qualified policyRejection (5.05s detector)
SL1007/Restored: qualified positive (5.05s detector)
SL2001/Fixed: qualified positive (4.99s detector)
SL2001/Violation: qualified diagnosticDemonstration (0.17s detector)
SL2001/Restored: qualified positive (5.14s detector)
SL2002/Fixed: qualified positive (4.22s detector)
SL2002/Violation: qualified policyRejection (0.18s detector)
SL2002/Restored: qualified positive (4.01s detector)
SL2003/Fixed: qualified positive (5.16s detector)
SL2003/Violation: qualified policyRejection (3.35s detector)
SL2003/Restored: qualified positive (5.38s detector)
SL2004/Fixed: qualified positive (4.43s detector)
SL2004/Violation: qualified policyRejection (4.34s detector)
SL2004/Restored: qualified positive (4.33s detector)
SL2005/Fixed: qualified positive (4.26s detector)
SL2005/Violation: qualified diagnosticDemonstration (6.20s detector)
SL2005/Restored: qualified positive (4.27s detector)
SL3001/Fixed: qualified positive (10.21s detector)
SL3001/Violation: qualified diagnosticDemonstration (10.58s detector)
SL3001/Restored: qualified positive (9.81s detector)
SL3002/Fixed: qualified positive (6.95s detector)
SL3002/Violation: qualified policyRejection (6.51s detector)
SL3002/Restored: qualified positive (6.39s detector)
SL4001/Fixed: qualified positive (5.25s detector)
SL4001/Violation: qualified policyRejection (4.87s detector)
SL4001/Restored: qualified positive (4.73s detector)
SL4002/Fixed: qualified positive (4.85s detector)
SL4002/Violation: qualified policyRejection (4.90s detector)
SL4002/Restored: qualified positive (5.02s detector)
SL4003/Fixed: qualified positive (4.86s detector)
SL4003/Violation: qualified policyRejection (3.51s detector)
SL4003/Restored: qualified positive (4.95s detector)
SL4004/Fixed: qualified positive (5.18s detector)
SL4004/Violation: qualified policyRejection (5.16s detector)
SL4004/Restored: qualified positive (5.09s detector)
SL5001/Fixed: qualified positive (4.14s detector)
SL5001/Violation: qualified policyRejection (4.15s detector)
SL5001/Restored: qualified positive (4.06s detector)
SL5002/Fixed: qualified positive (4.29s detector)
SL5002/Violation: qualified policyRejection (4.43s detector)
SL5002/Restored: qualified positive (4.62s detector)
rule example campaign: PASS (20 selected rules; diagnostic evidence only)
diagnostic qualification: PASS (selected scope only; not ordinary verification)
real 227.61
user 235.13
sys 188.85
